molecule_chembl_id,smiles,activity_type,activity_value,activity_units,pchembl_value,target_chembl_id,document_chembl_id,canonical_smiles
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,7600.0,nM,5.12,CHEMBL203,CHEMBL1135763,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
CHEMBL14932,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,IC50,98.0,nM,7.01,CHEMBL203,CHEMBL1146682,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1
CHEMBL38199,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,IC50,3.7,nM,8.43,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1
CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,IC50,0.025,nM,10.6,CHEMBL203,CHEMBL1130030,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
CHEMBL287007,CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,IC50,2.6,nM,8.59,CHEMBL203,CHEMBL1130030,CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
CHEMBL37346,Brc1cccc(Nc2ccnc3ccccc23)c1,IC50,5500.0,nM,5.26,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ccnc3ccccc23)c1
CHEMBL15346,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,IC50,74.0,nM,7.13,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1
CHEMBL15202,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,IC50,68.0,nM,7.17,CHEMBL203,CHEMBL1146682,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1
CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,IC50,10.0,nM,8.0,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CHEMBL36819,O=C(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,53.0,nM,7.28,CHEMBL203,CHEMBL1130030,O=C(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL40130,Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,IC50,3.7,nM,8.43,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1
CHEMBL14627,O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F,IC50,74.0,nM,7.13,CHEMBL203,CHEMBL1146682,O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F
CHEMBL290096,Brc1cccc(Nc2ncnc3ccccc23)c1,IC50,27.0,nM,7.57,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ncnc3ccccc23)c1
CHEMBL460731,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,IC50,20.0,nM,7.7,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
CHEMBL37543,OCC(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,12.0,nM,7.92,CHEMBL203,CHEMBL1130030,OCC(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL287289,CN(C)CCCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,21.0,nM,7.68,CHEMBL203,CHEMBL1130030,CN(C)CCCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL514436,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,IC50,27.0,nM,7.57,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
CHEMBL39320,Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,0.37,nM,9.43,CHEMBL203,CHEMBL1130030,Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL289162,O=C(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,5.1,nM,8.29,CHEMBL203,CHEMBL1130030,O=C(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL14952,CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,IC50,104.0,nM,6.98,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1
CHEMBL37373,CN(C)CCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,41.0,nM,7.39,CHEMBL203,CHEMBL1130030,CN(C)CCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL39715,COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,IC50,3.4,nM,8.47,CHEMBL203,CHEMBL1130030,COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
CHEMBL289213,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,IC50,0.72,nM,9.14,CHEMBL203,CHEMBL1130030,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
CHEMBL273789,CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,IC50,263.0,nM,6.58,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F
CHEMBL517907,C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,IC50,11.0,nM,7.96,CHEMBL203,CHEMBL1146682,C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1
CHEMBL460732,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)c2c1,IC50,93.0,nM,7.03,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)c2c1
CHEMBL540701,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,IC50,79.0,nM,7.1,CHEMBL203,CHEMBL1146682,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1
CHEMBL287832,CN(C)CCn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,40.0,nM,7.4,CHEMBL203,CHEMBL1130030,CN(C)CCn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL39337,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,IC50,0.44,nM,9.36,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1
CHEMBL40734,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,IC50,0.44,nM,9.36,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1
CHEMBL39811,CN(C)CCN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,IC50,7.5,nM,8.12,CHEMBL203,CHEMBL1130030,CN(C)CCN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
CHEMBL36727,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,0.8,nM,9.1,CHEMBL203,CHEMBL1130030,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL39355,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,IC50,8.8,nM,8.06,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1
CHEMBL493428,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1,IC50,24.0,nM,7.62,CHEMBL203,CHEMBL1146682,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1
CHEMBL289959,c1ccc(Nc2ncnc3ccccc23)cc1,IC50,346.0,nM,6.46,CHEMBL203,CHEMBL1130030,c1ccc(Nc2ncnc3ccccc23)cc1
CHEMBL47966,Oc1ccc(/N=N/c2ccc(O)cc2O)cc1,IC50,58000.0,nM,4.24,CHEMBL203,CHEMBL1127530,Oc1ccc(/N=N/c2ccc(O)cc2O)cc1
CHEMBL14874,CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O,IC50,830.0,nM,6.08,CHEMBL203,CHEMBL1146682,CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O
CHEMBL416611,OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,IC50,1.6,nM,8.8,CHEMBL203,CHEMBL1130030,OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL36967,Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,IC50,4.8,nM,8.32,CHEMBL203,CHEMBL1130030,Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1
CHEMBL36164,OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,IC50,3.5,nM,8.46,CHEMBL203,CHEMBL1130030,OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
